LC769711	Norovirus GI_Hu_IN_2018_GI.3[P13]_NICED-RV-791|GI.3[P13]|India|2018
LC769715	Norovirus GII_Hu_IN_2019_GII.3[P16]_NICED-RV-1373|GII.3[P16]|India|2019
LC868426	Hu_GII.17[P17]_TKY241383_2024_JP|GII.17[P17]|Japan|2024
LC868433	Hu_GII.17[P17]_TKY242405_2025_JP|GII.17[P17]|Japan|2025
LC868438	Hu_GII.17[P17]_TKY242661_2025_JP|GII.17[P17]|Japan|2025
LC877024	Hu_GII.7[P7]_TKY2874_2024_JPN|GII.7[P7]|Japan|2024
LC877034	Hu_GII.7[P7]_TKY2931_2025_JPN|GII.7[P7]|Japan|2025
MF140634	Norovirus_GII_Hu_NL_2010_GII.P4-GII.4_Rotterdam_E1300272_p1_d566|GII.4[P4]|Netherlands|2010
MF140693	Norovirus_GII_Hu_NL_2011_GII.P4-GII.4_Rotterdam_E7800020_p8_d340|GII.4[P4]|Netherlands|2011
KY210980	Hu_GII.P16-GII.4_RUS_Novosibirsk_NS16-C38_2016|GII.4[P16]|Russia|2016
KY424329	Hu_GII.4_RockvilleD7_2012_US|GII.4[P31]|USA|2012
KY424338	Hu_GII.4_MD143-7_1987_US|GII.4[P4]|USA|1987
KY424346	Hu_GII.6_HenrytonH2_1971_US|GII.6[P7]|USA|1971
KY424347	Hu_GII.6_HenrytonH3_1971_US|GII.6[P7]|USA|1971
KY442319	Hu_US_1972_GII.Pg_GII.3_ShippensburgB24|GII.3[P41]|USA|1972
KY442320	Hu_US_1972_GII.Pg_GII.3_ShippensburgC2|GII.3[P41]|USA|1972
KY887598	Hu_UK_2016_GII.P16_GII.3_NOR-2610|GII.3[P16]|United Kingdom|2016
KY887599	Hu_UK_2016_GII.P16_GII.4_Sydney2012_NOR-2559|GII.4[P16]|United Kingdom|2016
KY887600	Hu_UK_2016_GII.P16_GII.4_Sydney2012_NOR-2558|GII.4[P16]|United Kingdom|2016
LC122698	Hu_GI_JP_2013_GI.P6-GI.6_EH-2|Japan|2013
LC122711	Hu_GI_JP_2005_GI.P4-GI.4_HI-4|Japan|2005
LC122725	Hu_GII_JP_2011_GII.P12-GII.12_HO-42|GII.12[P12]|Japan|2011
LC122726	Hu_GII_JP_2003_GII.P12-GII.12_TO-54|GII.12[P12]|Japan|2003
LC122739	Hu_GII_JP_2003_GII.P21-GII.1_TO-55|GII.1[P21]|Japan|2003
LC122743	Hu_GII_JP_2010_GII.P12-GII.3_HO-25|GII.3[P12]|Japan|2010
LC122751	Hu_GII_JP_2004_GII.P12-GII.3_HO-19|GII.3[P12]|Japan|2004
LC122758	Hu_GII_JP_2013_GII.P12-GII.3_HO-28|GII.3[P12]|Japan|2013
LC122766	Hu_GII_JP_2003_GII.P12-GII.4_TO-71|GII.4[P12]|Japan|2003
LC122767	Hu_GII_JP_2004_GII.P12-GII.4_TO-78|GII.4[P12]|Japan|2004
LC122772	Hu_GII_JP_2004_GII.P12-GII.4_TO-73|GII.4[P12]|Japan|2004
LC122806	Hu_GII_JP_2013_GII.Pe-GII.4_TO-42|GII.4[P31]|Japan|2013
LC122811	Hu_GII_JP_2014_GII.Pe-GII.4_HO-31|GII.4[P31]|Japan|2014
LC122831	Hu_GII_JP_2004_GII.P3-GII.3_HO-20|GII.3[P3]|Japan|2004
LC122855	Hu_GII_JP_2006_GII.P2-GII.2_HO-14|GII.2[P2]|Japan|2006
LC122861	Hu_GII_JP_2012_GII.P7-GII.14_MI-38|GII.14[P7]|Japan|2012
LC122876	Hu_GII_JP_2010_GII.P7-GII.14_OS-2|GII.14[P7]|Japan|2010
LC122877	Hu_GII_JP_2011_GII.P7-GII.14_HO-45|GII.14[P7]|Japan|2011
LC122881	Hu_GII_JP_2008_GII.P7-GII.14_HI-13|GII.14[P7]|Japan|2008
LC122922	Hu_GII_JP_2003_GII.P7-GII.6_TO-53|GII.6[P7]|Japan|2003
LC122927	Hu_GII_JP_2003_GII.P6-GII.6_TO-71|GII.6[P6]|Japan|2003
LC122932	Hu_GII_JP_2003_GII.P6-GII.6_TO-68|GII.6[P6]|Japan|2003
LC133344	Hu_GII.4_OsakaSB2-1_2014_JPA|GII.4[P31]|Japan|2014
LC145791	Hu_GII.2_Saitama4_2012_JP|GII.2[P16]|Japan|2012
KT202797	Hu_Guangzhou_GZ2014-L295_CHN_2014|GII.4[P31]|China|2014
KT780410	Hu_GII.17_CUHK-NS-637_HKG_2015|GII.17[P17]|Hong Kong|2015
KT780413	Hu_GII.17_CUHK-NS-653_HKG_2015|GII.17[P17]|Hong Kong|2015
KU557784	Hu_GII.17_35-0585_GD-JM_2015-03-17|GII.17[P17]|China|2015
KJ194500	NV_Amsterdam_1_1995|GII.3[P3]|Netherlands|1995
KJ196276	Saitama_T80|GII.13[P12]|Japan|2002
KJ196277	Saitama_T49|GII.5[P40]|Japan|2001
KJ196281	Fukuyama_5|GII.4[P31]|Japan|2012
KJ196282	Saitama_T15|GII.12[P12]|Japan|2001
KJ196286	Saitama_T87|GII.17[P16]|Japan|2002
KJ196287	Shimada_ASC96|GII.4[P4]|Japan|2010
KJ196288	Saitama_T52|GII.5[P5]|Japan|2002
KJ196294	Saitama_KU16|GII.12[P12]|Japan|2000
KJ196295	Musashimurayama_TAKAsanKimchi|GII.7[P7]|Japan|2010
KJ196296	Taipei_105|GII.4[P31]|Taiwan|2012
KJ196299	Saitama_T18|GII.12[P12]|Japan|2001
KJ407076	Hu_GII.4_HS66_2001_USA|GII.4[P4]|USA|2001
KJ541743	SGU-110421|GII.4[P4]|South Korea|2011
KJ685402	Hu_GII_BG1C0434_2012_BGD|GII.4[P4]|Bangladesh|2012
KM198504	Hu_GII_20151_2009_VNM|GII.4[P4]|Vietnam|2009
KM198509	Hu_GII_20479_2010_VNM|GII.3[P21]|Vietnam|2010
KM198524	Hu_GII_10034_2009_VNM|GII.4[P4]|Vietnam|2009
KM198547	Hu_GII_C2H-47_2011_VNM|GII.3[P21]|Vietnam|2011
JN975492	Mu_NoV_Apo960_UK_2007|GV.1[P1]|United Kingdom|2007
JN975498	Mu_NoV_GV_PSM1_UK_2007|GV.1[P1]|United Kingdom|2007
JX023285	Hu_GI.1_8FIIa_1968_USA|GI.1[P1]|USA|1968
JX445158	Hu_GII.4_AlbertaEI603_2006_CA|GII.4[P4]|Canada|2006
JX445162	Hu_GII.4_AlbertaEI425_2008_CA|GII.4[P4]|Canada|2008
JX846927	Hu_GII.6_CHDC4073_1984_USA|GII.6[P7]|USA|1984
KC175358	Hu_Norwalk_10158_2009_VNM|GII.4[P4]|Vietnam|2009
KC175402	Hu_Norwalk_20094_2009_VNM|GII.4[P4]|Vietnam|2009
